FIRST;6;73;17;78;76;87;34;28;54;54;37;62;31;27;60;82;52;89;82;14;49;59;45;49
SECOND;46;57;40;58;57;43;9;75;24;73;90;57;42;41;95;1;16;83;37;94;7;23;64;71
THIRD;88;43;11;66;87;24;36;7;39;67;26;93;27;47;28;18;8;77;95;79;56;47;56;44
FUORTH;43;59;56;58;54;53;22;88;72;56;51;82;96;57;60;62;64;53;90;8;98;82;88;76
FIFTH;76;1;38;6;43;25;93;36;1;2;1;43;83;15;78;59;14;44;95;6;51;48;56;52
SIXTH;47;57;47;52;55;51;15;98;61;2;2;79;63;84;10;31;89;80;69;97;52;15;86;86
SEVENTH;84;55;85;66;12;45;10;35;92;36;65;89;17;51;22;45;59;3;55;12;53;47;41;49
EIGHTH;52;59;44;44;55;40;17;35;99;71;76;72;62;66;9;95;36;7;20;84;69;20;50;5
NINTH;33;4;76;3;85;56;65;62;31;74;30;48;81;66;20;20;64;48;92;21;59;57;49;59
TENTH;49;58;59;58;58;59;8;17;35;2;11;11;69;88;67;15;13;99;8;52;1;29;56;81
